holdout_type,holdout_group,landmark_cycle,horizon_cycle,recalibration_fraction,n_splits,seed,target_cells_total,target_events_total,labelled_cells,events_in_subset,events_in_subset_min,events_in_subset_max,one_class_share,sd_eta,mean_eta,n_eff_mean,n_eff_median,n_eff_p05,n_eff_p95,se_slope_at_mean_neff,log_loss_before,log_loss_after,log_loss_gain,se
source,BatteryLife SNL,200,500,0.3,100,20260702,56,16,17.0,4.54,1,8,0.0,0.6372797702959025,-0.234551407824108,2.468694478650603,2.4781189128810963,1.6550543599471872,3.126534321706377,0.6364529841865971,0.7225361066407813,0.6467429431199835,0.0757931635207975,0.6364529841865971
source,BatteryLife SNL,200,800,0.3,100,20260702,44,23,14.0,7.42,3,12,0.0,0.5597880205134708,0.0486704079739253,1.9224977602185995,1.9279044616303265,1.173099512727592,2.5111857522394554,0.7212188660976546,0.6239892406482351,1.2641602907906266,-0.6401710501423914,0.7212188660976546
source,BatteryLife SNL,200,1000,0.3,100,20260702,43,24,13.0,7.29,3,11,0.0,0.5108559460139701,0.1788326865573356,1.3765707721289746,1.3512700545388592,0.7866544502926904,1.958653959464514,0.8523161700223453,0.6512776064795319,1.1222696319081258,-0.470992025428594,0.8523161700223453
source,BatteryLife SNL,300,500,0.3,100,20260702,55,15,17.0,4.41,1,8,0.0,0.6844888054386182,-0.6509829391879368,2.354722141331373,2.351620925187469,1.7921250629230916,2.920355809300411,0.6516736579959497,0.6647524013052633,0.7134008941863231,-0.0486484928810601,0.6516736579959497
source,BatteryLife SNL,300,800,0.3,100,20260702,43,22,13.0,6.72,2,10,0.0,0.6243274535262481,-0.2514307805206507,2.067531796733672,2.055966354496853,1.222852831334625,3.0305407352437066,0.6954627945706034,0.6959635511580596,1.1924270629049438,-0.4964635117468838,0.6954627945706033
source,BatteryLife SNL,300,1000,0.3,100,20260702,42,23,13.0,7.18,3,11,0.0,0.5829459756335669,-0.1178987146575966,1.6437797189433598,1.5817780076429515,0.8783244823064726,2.6621589077053955,0.779970525078793,0.7383990632754941,0.9708082538044408,-0.2324091905289464,0.779970525078793
source,CALB,150,500,0.3,100,20260702,23,4,7.0,1.25,0,4,0.19,0.2433806013161569,-0.8708817434810776,0.2196452349207045,0.1686449392118328,0.0061390026053595,0.5468938822437973,2.1337282492043816,0.4294718905180149,0.2534301967185867,0.1760416937994282,2.1337282492043816
source,CALB,150,800,0.3,100,20260702,23,4,7.0,1.4,0,3,0.13,0.1730521698071416,-0.3147343854384987,0.0931310377217228,0.0873415595415133,0.0157234545144505,0.1892373503955636,3.2768214581007022,0.730794774003925,0.6226765458360491,0.1081182281678758,3.276821458100703
source,CALB,150,1000,0.3,100,20260702,21,4,7.0,1.2,0,4,0.18,0.1953491731108022,-0.0460861214891215,0.1271599355208956,0.0674770212886277,0.012165868339501,0.3037170658262044,2.8043024440650988,0.9514347203163536,0.5210661356636452,0.4303685846527083,2.804302444065099
source,CALB,200,500,0.3,100,20260702,23,4,7.0,1.14,0,3,0.25,0.2417021551880351,-1.0522256149571432,0.1645529259665265,0.1199761923038884,0.00214073306891,0.4174449921772747,2.46517182528318,0.4459455072135589,0.610489766762911,-0.1645442595493521,2.4651718252831794
