model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
gamma,matr,normalised,published,full,1.0,150,1000,,,,-9653.595880332938,True,80,32.21215500017711,2.4051409294951602,0.013476892941969963,0.03172588832487311,0.1804966016933782
wiener,matr,normalised,published,full,1.0,200,500,0.23258620882406084,0.011599827599848053,0.00235945124387741,-9907.797198030172,True,97,,,,,
gamma,matr,normalised,published,full,1.0,200,500,,,,-11805.174981520517,True,97,31.529706139662537,2.92416233767254,0.016569562712698743,0.03172588832487311,0.1786608891248928
wiener,matr,normalised,published,full,1.0,200,800,0.2334463973459468,0.012037987940736777,0.002389130028916403,-9619.313416940136,True,94,,,,,
gamma,matr,normalised,published,full,1.0,200,800,,,,-11484.948214301397,True,94,31.410678926499717,2.8295425805079724,0.01605275749646088,0.03172588832487311,0.17820124534608447
wiener,matr,normalised,published,full,1.0,200,1000,0.24519401191284365,0.013912768679365655,0.0025281167204811894,-8055.430051660345,True,80,,,,,
gamma,matr,normalised,published,full,1.0,200,1000,,,,-9653.595880332938,True,80,32.21215500017711,2.4051409294951602,0.013476892941969963,0.03172588832487311,0.1804966016933782
wiener,matr,normalised,published,full,1.0,300,500,0.23258620882406084,0.011599827599848053,0.00235945124387741,-9907.797198030172,True,97,,,,,
gamma,matr,normalised,published,full,1.0,300,500,,,,-11805.174981520517,True,97,31.529706139662537,2.92416233767254,0.016569562712698743,0.03172588832487311,0.1786608891248928
wiener,matr,normalised,published,full,1.0,300,800,0.2334463973459468,0.012037987940736777,0.002389130028916403,-9619.313416940136,True,94,,,,,
gamma,matr,normalised,published,full,1.0,300,800,,,,-11484.948214301397,True,94,31.410678926499717,2.8295425805079724,0.01605275749646088,0.03172588832487311,0.17820124534608447
wiener,matr,normalised,published,full,1.0,300,1000,0.24519401191284365,0.013912768679365655,0.0025281167204811894,-8055.430051660345,True,80,,,,,
gamma,matr,normalised,published,full,1.0,300,1000,,,,-9653.595880332938,True,80,32.21215500017711,2.4051409294951602,0.013476892941969963,0.03172588832487311,0.1804966016933782
wiener,matr,cycle,fair,truncH,1.0,150,500,0.00021434475300533375,2.7524284477211067e-08,2.930421485479225e-06,-5281.229235100247,True,97,,,,,
gamma,matr,cycle,fair,truncH,1.0,150,500,,,,-7281.510134429656,False,97,0.0851029002877845,1.251019820212915,0.0010532002949234962,25.0,7.164586702286223e-05
wiener,matr,cycle,fair,truncH,1.0,150,800,0.00026756673750442933,2.836350380959401e-08,3.110622012836961e-06,-7530.794146243019,True,94,,,,,
gamma,matr,cycle,fair,truncH,1.0,150,800,,,,-9618.517134432923,True,94,0.05392765444538719,1.1995524017491632,0.0026847908526869747,25.0,0.00012069874825869864
wiener,matr,cycle,fair,truncH,1.0,150,1000,0.00030065064188019035,2.6354202397435857e-08,3.4520597915246496e-06,-6918.4919802677505,True,80,,,,,
gamma,matr,cycle,fair,truncH,1.0,150,1000,,,,-8544.1426492397,True,80,0.046173658206767894,1.2852058205723136,0.004454135466777005,25.0,0.00016002396297740083
wiener,matr,cycle,fair,truncH,1.0,200,500,0.00021434475300533375,2.7524284477211067e-08,2.930421485479225e-06,-5281.229235100247,True,97,,,,,
gamma,matr,cycle,fair,truncH,1.0,200,500,,,,-7281.510134429656,False,97,0.0851029002877845,1.251019820212915,0.0010532002949234962,25.0,7.164586702286223e-05
wiener,matr,cycle,fair,truncH,1.0,200,800,0.00026756673750442933,2.836350380959401e-08,3.110622012836961e-06,-7530.794146243019,True,94,,,,,
gamma,matr,cycle,fair,truncH,1.0,200,800,,,,-9618.517134432923,True,94,0.05392765444538719,1.1995524017491632,0.0026847908526869747,25.0,0.00012069874825869864
wiener,matr,cycle,fair,truncH,1.0,200,1000,0.00030065064188019035,2.6354202397435857e-08,3.4520597915246496e-06,-6918.4919802677505,True,80,,,,,
gamma,matr,cycle,fair,truncH,1.0,200,1000,,,,-8544.1426492397,True,80,0.046173658206767894,1.2852058205723136,0.004454135466777005,25.0,0.00016002396297740083
wiener,matr,cycle,fair,truncH,1.0,300,500,0.00020260170062987655,2.154663564214577e-08,2.873236399566968e-06,-5249.732722365532,False,95,,,,,
gamma,matr,cycle,fair,truncH,1.0,300,500,,,,-7234.373667444506,True,95,0.08453005705035337,1.292960265911018,0.0010762463169268377,25.0,7.036191673373452e-05
wiener,matr,cycle,fair,truncH,1.0,300,800,0.00025632305638630977,2.3533562723754336e-08,3.0731237909265536e-06,-7496.0812614353135,True,92,,,,,
gamma,matr,cycle,fair,truncH,1.0,300,800,,,,-9572.997723662598,True,92,0.05365396116737417,1.215144588590141,0.00268842656435575,25.0,0.00011870581973511401
wiener,matr,cycle,fair,truncH,1.0,300,1000,0.0002881848424182154,2.1670090876493495e-08,3.4136714990502397e-06,-6881.713628903385,True,78,,,,,
gamma,matr,cycle,fair,truncH,1.0,300,1000,,,,-8499.20292387933,True,78,0.04591631533533455,1.2944988819541325,0.0044323684542929825,25.0,0.0001572176156092788
wiener,matr,normalised,fair,truncH,1.0,150,500,0.16890366651546962,0.017091038923996348,0.0023091721442574102,-5281.229235100246,False,97,,,,,
gamma,matr,normalised,fair,truncH,1.0,150,500,,,,-7281.510134429656,True,97,67.06108334544687,1.25101957419385,0.0010531999282809602,0.03172588832487311,0.05645693291040703
wiener,matr,normalised,fair,truncH,1.0,150,800,0.2108425876397358,0.01761214775697364,0.002451170152364963,-7530.794146243019,False,94,,,,,
gamma,matr,normalised,fair,truncH,1.0,150,800,,,,-9618.517134432925,True,94,42.494993272978505,1.1995524849502506,0.002684790952592755,0.03172588832487311,0.09511061408414687
wiener,matr,normalised,fair,truncH,1.0,150,1000,0.23691271576142928,0.016364482732169363,0.002720223103667723,-6918.4919802677505,True,80,,,,,
gamma,matr,normalised,fair,truncH,1.0,150,1000,,,,-8544.142649239697,True,80,36.38484273028424,1.285205478149825,0.004454134741780297,0.03172588832487311,0.1260988961177448
wiener,matr,normalised,fair,truncH,1.0,200,500,0.16890366651546962,0.017091038923996348,0.0023091721442574102,-5281.229235100246,False,97,,,,,
gamma,matr,normalised,fair,truncH,1.0,200,500,,,,-7281.510134429656,True,97,67.06108334544687,1.25101957419385,0.0010531999282809602,0.03172588832487311,0.05645693291040703
wiener,matr,normalised,fair,truncH,1.0,200,800,0.2108425876397358,0.01761214775697364,0.002451170152364963,-7530.794146243019,False,94,,,,,
