model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,300,800,362,4,358,145,0.40502793296089384,0.22355514793915257,0.2692871092808896,0.7798051493480028,0.5254006799417194
wiener,sixsource,cycle,fair,full,1.0,300,1000,327,4,323,165,0.5108359133126935,0.7144090797150027,0.2366949597541174,1.4335330380714089,0.8053317990026851
gamma,sixsource,cycle,fair,full,1.0,300,1000,327,4,323,165,0.5108359133126935,0.3695542629624693,0.15003201020239482,1.3639040719455842,0.9458381281166091
cloglog hazard model,sixsource,cycle,fair,full,1.0,300,1000,327,4,323,165,0.5108359133126935,0.5099832772065137,0.04459863533822208,0.30580588069102754,0.9774453394706559
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,300,1000,327,4,323,165,0.5108359133126935,0.27436409229753395,0.31704213691422606,0.9023058716398584,0.4431530494821634
wiener,sixsource,normalised,fair,full,1.0,150,500,433,27,406,109,0.2684729064039409,0.9999970202650348,0.7315211390097608,14.897185793792865,0.4760139622524944
gamma,sixsource,normalised,fair,full,1.0,150,500,433,27,406,109,0.2684729064039409,0.9999999989999999,0.7315270921330048,15.159630448477383,0.5
cloglog hazard model,sixsource,normalised,fair,full,1.0,150,500,433,27,406,109,0.2684729064039409,0.2685026045364701,0.13384880742605562,0.4015976029147572,0.8377660396009021
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,full,1.0,150,500,433,27,406,109,0.2684729064039409,0.1833043433223289,0.19355753455613817,0.5866256098267142,0.6522410650851018
wiener,sixsource,normalised,fair,full,1.0,150,800,392,26,366,164,0.44808743169398907,0.9999973801701479,0.5519073327948163,11.23584935909841,0.49111023907268775
gamma,sixsource,normalised,fair,full,1.0,150,800,392,26,366,164,0.44808743169398907,0.999999999,0.5519125672021858,11.437430887814548,0.5
cloglog hazard model,sixsource,normalised,fair,full,1.0,150,800,392,26,366,164,0.44808743169398907,0.4428164411886902,0.12131520353663167,0.4088814490847309,0.9056236416324559
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,full,1.0,150,800,392,26,366,164,0.44808743169398907,0.26086675314305313,0.27783206335868293,0.8016197743973642,0.5459731948804637
wiener,sixsource,normalised,fair,full,1.0,150,1000,357,26,331,181,0.5468277945619335,0.9999999959392124,0.45317219913116813,9.27732316344452,0.48998158379373835
gamma,sixsource,normalised,fair,full,1.0,150,1000,357,26,331,181,0.5468277945619335,0.9999999989999999,0.45317220453172213,9.391208096571756,0.5
