model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
gamma,matr,normalised,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.043226744185027796,0.29237973233885195,1.4245124774030329,0.728021978021978
cloglog hazard model,matr,normalised,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,normalised,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.2865328429221324,0.0421717026067258,0.15336767288813294,0.978021978021978
wiener,matr,normalised,published,full,1.0,200,800,39,1,38,19,0.5,0.3522697196377536,0.24048092201897822,0.6650576053350793,0.7423822714681441
gamma,matr,normalised,published,full,1.0,200,800,39,1,38,19,0.5,0.1843945142649344,0.33508147076572214,0.9736825232937848,0.7423822714681441
cloglog hazard model,matr,normalised,published,full,1.0,200,800,39,1,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,normalised,published,full,1.0,200,800,39,1,38,19,0.5,0.5065512125918189,0.0602475817584634,0.2061765345394254,0.9861495844875346
wiener,matr,normalised,published,full,1.0,200,1000,33,1,32,22,0.6875,0.5918316220729802,0.23712478016339375,0.6761499438123852,0.5590909090909091
gamma,matr,normalised,published,full,1.0,200,1000,33,1,32,22,0.6875,0.38707349473408936,0.35346476352542433,1.0668215857936896,0.5590909090909091
cloglog hazard model,matr,normalised,published,full,1.0,200,1000,33,1,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,normalised,published,full,1.0,200,1000,33,1,32,22,0.6875,0.6830087532651454,0.07184485971162244,0.22772359413051305,0.959090909090909
wiener,matr,normalised,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.023327921405194983,0.29435278290349653,2.2746965615971706,0.8379120879120879
gamma,matr,normalised,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.046404656861561096,0.27057924127100513,1.9482140838468707,0.8489010989010989
cloglog hazard model,matr,normalised,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.27129592996526014,0.0375052001810291,0.12004359776380549,0.9945054945054945
random forest,matr,normalised,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.29536191991671196,0.041188301515702,0.1336826709134031,0.989010989010989
wiener,matr,normalised,published,full,1.0,300,800,39,1,38,19,0.5,0.21718445746506412,0.25994260468155234,0.7301312117048763,0.8614958448753463
gamma,matr,normalised,published,full,1.0,300,800,39,1,38,19,0.5,0.12681167238182064,0.34686680225461053,1.2958391466355021,0.8642659279778393
cloglog hazard model,matr,normalised,published,full,1.0,300,800,39,1,38,19,0.5,0.5685280676055244,0.06910652195123242,0.2861617757795339,0.9806094182825486
random forest,matr,normalised,published,full,1.0,300,800,39,1,38,19,0.5,0.5554772325455314,0.05847653562742488,0.19971362951352306,0.9833795013850416
wiener,matr,normalised,published,full,1.0,300,1000,33,1,32,22,0.6875,0.4741705100021911,0.2372188440854724,0.6723288531870779,0.7
gamma,matr,normalised,published,full,1.0,300,1000,33,1,32,22,0.6875,0.29374833799880923,0.3634371204309814,1.4250144330796737,0.7045454545454546
cloglog hazard model,matr,normalised,published,full,1.0,300,1000,33,1,32,22,0.6875,0.737188452705472,0.08427939040751997,0.7907566736619382,0.9204545454545454
random forest,matr,normalised,published,full,1.0,300,1000,33,1,32,22,0.6875,0.7111362337892433,0.07281949989162188,0.2262223463559701,0.9636363636363637
wiener,matr,cycle,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.06937615308288654,0.2876746343662258,1.1208620964420846,0.6126373626373627
gamma,matr,cycle,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.06292560521131199,0.3079447201828439,1.7524101965580232,0.6126373626373627
