link,term,beta,beta_low,beta_high,exp_beta,exp_beta_low,exp_beta_high,boot_sd,alpha,n_bootstrap,converged,seed
logit,dataset_CALB,-0.039655086249336016,-0.059066984034339756,-0.01982930832188244,0.9611208857983466,0.9426436249693521,0.9803659993433653,0.010008061180014113,0.03162277660168379,1000,True,20260823
logit,dataset_HUST,-0.010100770974515184,-0.026344672425031676,0.0038420275266601413,0.9899500704893074,0.9739993210390281,1.0038494175756443,0.007416961333115025,0.03162277660168379,1000,True,20260823
logit,dataset_MATR,-0.006272055535161157,-0.026862989108185544,0.01559306148322946,0.9937475727471583,0.973494611752474,1.0157152676295211,0.010552443679238082,0.03162277660168379,1000,True,20260823
logit,dataset_SDU,0.07176263390659027,0.05673495896831682,0.08751986847599216,1.0744002875951075,1.0583752603475949,1.0914639499528078,0.00809851692917431,0.03162277660168379,1000,True,20260823
logit,dataset_Tongji,0.040105064003828725,0.025372345212705098,0.05553459687866953,1.0409201316842203,1.0256969627852275,1.0571055889935854,0.007990011844702612,0.03162277660168379,1000,True,20260823
logit,chemistry_NCA,0.06083046874037082,0.04675633720413717,0.07590648908323873,1.0627187348688596,1.0478666518523092,1.078861684095058,0.007331925912824203,0.03162277660168379,1000,True,20260823
logit,chemistry_NMC,0.008170025295161186,-0.014379226679809875,0.030241597219541207,1.0082034910283677,0.9857236606629813,1.0307035189796176,0.011576743062465722,0.03162277660168379,1000,True,20260823
logit,chemistry_NMC/NCA,0.010302747118904512,0.0035757217751461318,0.017546247447037484,1.0103560031553604,1.003582122294805,1.017701087139563,0.003420538807049077,0.03162277660168379,1000,True,20260823
probit,Intercept,-2.5818384949375544,-2.7009624511975554,-2.5340166144657132,0.07563482188208556,0.06714086183019431,0.07933970243035325,0.04701927889600825,0.03162277660168379,1000,True,20260823
probit,log_interval_mid,-0.1540944091983843,-0.1776857259629295,-0.11770889943130868,0.8571910904675104,0.8372054940989595,0.888954790198429,0.01561204830899976,0.03162277660168379,1000,True,20260823
probit,lag_soh,-0.709984444575812,-0.7703718275073363,-0.6819591227115431,0.49165184525448835,0.4628409393193039,0.5056254391141849,0.022903758172958356,0.03162277660168379,1000,True,20260823
probit,delta_soh_10,0.12856220793794282,-0.21310962199229988,0.17978829179128458,1.137192161470302,0.8080675503862584,1.1969639292063874,0.1393753844775943,0.03162277660168379,1000,True,20260823
probit,dataset_CALB,-0.050795315598484055,-0.07375299902915271,-0.024143582522810805,0.9504731976610336,0.9289011049824853,0.9761455422557608,0.01260038090164823,0.03162277660168379,1000,True,20260823
probit,dataset_HUST,0.013935716167124397,-0.003665489695183624,0.03227040432023843,1.0140332708979296,0.9963412200115452,1.0327967402507412,0.008820326112585368,0.03162277660168379,1000,True,20260823
probit,dataset_MATR,0.05016066502772198,0.015067282113829577,0.07785118763638313,1.0514400124449557,1.0151813658661828,1.0809617862220882,0.01578282274400732,0.03162277660168379,1000,True,20260823
probit,dataset_SDU,0.10427878078977208,0.07853604091342939,0.12282765396779786,1.1099098333291109,1.0817023400001402,1.1306895342991126,0.011353333362746267,0.03162277660168379,1000,True,20260823
probit,dataset_Tongji,-0.013072175563253885,-0.0323745683164073,0.014293998044470025,0.9870128942378162,0.9681438781322629,1.0143966457333398,0.012091838343160638,0.03162277660168379,1000,True,20260823
