model,corpus,timescale,variant,window,power,fold,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
wiener,sixsource,cycle,fair,full,1.0,4,300,500,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,300,500,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,300,800,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,300,800,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,300,800,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,300,800,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,300,800,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,300,800,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,300,800,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,300,800,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,300,800,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,300,800,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,300,1000,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,300,1000,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,300,1000,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,300,1000,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,300,1000,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,300,1000,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,300,1000,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,300,1000,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,300,1000,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,300,1000,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,normalised,fair,full,1.0,0,150,500,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,150,500,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,150,500,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,150,500,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,150,500,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,150,500,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,150,500,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,150,500,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,150,500,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,150,500,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,150,800,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,150,800,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,150,800,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,150,800,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,150,800,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,150,800,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,150,800,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
