law,n,prev,sd_eta,b0,reps,seed,m_eta,folds,n_eff_mean,n_eff_median,n_eff_sd,n_eff_min,n_eff_max,S,one_class_share,same_penalty_CD,same_penalty_CDind,ml_nonconvergence_share,LL_A,LLse_A,BR_A,BRse_A,sdb_A,fix_share_A,LL_B,LLse_B,BR_B,BRse_B,sdb_B,fix_share_B,LL_C,LLse_C,BR_C,BRse_C,sdb_C,fix_share_C,LL_D,LLse_D,BR_D,BRse_D,sdb_D,fix_share_D,LL_Dind,LLse_Dind,BR_Dind,BRse_Dind,sdb_Dind,fix_share_Dind,LL_E,LLse_E,BR_E,BRse_E,sdb_E,fix_share_E,rep_beats_A_B,rep_beats_A_C,rep_beats_A_D,rep_beats_A_E,LL_D_minus_C,LL_D_minus_C_se,LL_Dind_minus_C,LL_Dind_minus_C_se,LL_oracle
normal,50,0.2,1.0,2.0,500,"[20260825, 69]",-1.2644735812685899,3,9.667517349953208,9.617837001892413,1.7462728354841826,4.891505354399155,15.066369549825415,9.667517349953208,0.0,1.0,0.684,0.004,0.3385743771947661,0.0005398871587064311,0.10285204367708631,0.00027090914418702577,0.0,1.0,0.33699843779878336,0.004742786856588009,0.09514122204685822,0.00032222363891235267,2.0413410104012435,0.0,0.33349892534099135,0.00145527060976903,0.10040859765762644,0.00030439359380824246,0.7874089519696511,0.696,0.33349892534099135,0.00145527060976903,0.10040859765762644,0.00030439359380824246,0.7874089519696511,0.696,0.33312189935779674,0.0013632457843656771,0.10049243102521484,0.0003065142597292289,0.7732878632206079,0.71,0.32622972505757514,0.0025925338324735846,0.09579611585105677,0.0003123558918357217,1.171031163644219,0.1,0.8,0.274,0.274,0.792,0.0,0.0,-0.0003770259831945778,0.0011379675650894877,0.33699843779878336
normal,50,0.2,2.0,0.7,500,"[20260825, 70]",-2.9965641637977907,3,9.879477100271826,9.884696268950686,2.1046193727688047,3.3122387431633737,15.333144758363797,0.8891529390244646,0.0,1.0,0.856,0.002,0.39126858570621803,0.0009115059645080785,0.11784229328752505,0.0002232646644869687,0.0,1.0,0.3986487408686639,0.0042781672075769776,0.11845211741911266,0.0003149064158583871,0.6414656477620592,0.0,0.38992998642203747,0.0009912196833537744,0.11771966626008601,0.0002259383610220343,0.137870860343188,0.874,0.38992998642203747,0.0009912196833537744,0.11771966626008601,0.0002259383610220343,0.137870860343188,0.874,0.390086846481209,0.0009517475815657513,0.11774424325585456,0.00022728251558526275,0.11193616719574276,0.908,0.3884203435999121,0.001957381328313755,0.11763850502741531,0.00025278346679664,0.2821853845935676,0.468,0.726,0.11,0.11,0.464,0.0,0.0,0.00015686005917153257,0.0004794839907708321,0.39126858570621803
normal,50,0.2,2.0,1.0,500,"[20260825, 71]",-2.5289471625371798,3,11.222022941358816,11.309854699799317,2.0300390739442604,5.39582413034295,16.458017970288278,0.0,0.0,1.0,0.94,0.006,0.300758140578974,0.0007163999794030282,0.09221260039075005,0.00022115672151601015,0.0,1.0,0.3334071623346124,0.004523233104855431,0.09462321791328282,0.00028979980643955737,1.3506285167147452,0.0,0.3032560474702768,0.0012338494027488208,0.0923574463574796,0.00022394740920007094,0.19336965896620686,0.958,0.3032560474702768,0.0012338494027488208,0.0923574463574796,0.00022394740920007094,0.19336965896620686,0.958,0.30433974745898573,0.0015605544288808655,0.09242248203558136,0.00023371267274276638,0.2580823158345067,0.964,0.31056440440635885,0.0018355451673211088,0.0930367775069336,0.00024387941124003195,0.35571395722980553,0.678,0.1,0.002,0.002,0.044,0.0,0.0,0.0010836999887089483,0.000920907374639934,0.300758140578974
normal,50,0.2,2.0,1.25,500,"[20260825, 72]",-2.327313172361551,3,11.738738805556045,11.918386342305709,1.9639158856356793,5.0474554057363985,16.832966583710594,0.7336711753472528,0.0,1.0,0.894,0.02,0.2602442544150467,0.0006438636452738596,0.07911285711565973,0.00023395408063880418,0.0,1.0,0.3053433533286054,0.006972753153234751,0.08108697527500303,0.0004043468538538953,2.768842177921123,0.0,0.26914048211621683,0.0030471192979842137,0.0792896328395407,0.0002513716662041356,0.9112924457171788,0.908,0.26914048211621683,0.0030471192979842137,0.0792896328395407,0.0002513716662041356,0.9112924457171788,0.908,0.26878575203632127,0.0029957674444337015,0.07932491690436004,0.00024469148976332707,0.9140484416318434,0.914,0.2741204661358089,0.0035399737260463646,0.07978451289276137,0.0003414273911256008,0.6594977870456509,0.566,0.402,0.052,0.052,0.188,0.0,0.0,-0.000354730079895591,0.001653507278516564,0.2602442544150467
normal,50,0.2,2.0,1.5,500,"[20260825, 73]",-2.199840903225337,3,12.096109281230518,12.243771434646302,1.8554560461015541,3.9701612851729817,17.652399129250885,3.0240273203076296,0.0,1.0,0.828,0.032,0.2347314738138863,0.0005486057108987584,0.07015935610718846,0.00022483052034552616,0.0,1.0,0.2855536948188125,0.007617128424304071,0.07072234914130346,0.0003987912381548433,3.7090109383055903,0.0,0.24380103839677933,0.003001777500236094,0.0702795840196296,0.0002666336388445762,0.8808468136625348,0.844,0.24380103839677933,0.003001777500236094,0.0702795840196296,0.0002666336388445762,0.8808468136625348,0.844,0.24249378476078454,0.0020889153962935303,0.07024867340448249,0.000255037455743124,0.8015621043630358,0.816,0.24363941631164987,0.0028555037391173365,0.06990908024385106,0.00029421836855897225,0.7311432936891296,0.426,0.598,0.088,0.088,0.41,0.0,0.0,-0.0013072536359948193,0.002692180143806412,0.2347314738138863
normal,50,0.2,2.0,2.0,500,"[20260825, 74]",-2.0504151541172417,3,12.33571997759337,12.424329923307933,1.8611642372010249,6.338982525461278,16.783219332335506,12.33571997759337,0.0,1.0,0.706,0.064,0.2061308673260961,0.00048256305709038475,0.05933388465595198,0.0002402148069422192,0.0,1.0,0.2345014638461145,0.006626758413344783,0.054778127325145025,0.00037109765278241816,5.089802562636792,0.0,0.2055243115722468,0.002190251174253993,0.05750197164058193,0.0002716648157001404,1.4104684137340582,0.664,0.2055243115722468,0.002190251174253993,0.05750197164058193,0.0002716648157001404,1.4104684137340582,0.664,0.20462998766356646,0.0021474528398925897,0.0575555555405397,0.00027604671603641495,1.2564237186227956,0.656,0.19257756380579638,0.001766369143297891,0.05484229736625081,0.00028234537350190934,0.9730998733074069,0.2,0.704,0.272,0.272,0.714,0.0,0.0,-0.0008943239086803775,0.0012869679372865632,0.2061308673260961
normal,50,0.5,0.5,0.7,500,"[20260825, 75]",-0.5481596042002601,3,4.680982144021828,4.648935895139774,0.9374718224042932,2.5114701158784225,7.633425376193458,0.4212883929619647,0.0,1.0,0.848,0.0,0.6812693299483853,0.0007282776446721072,0.2428636461261342,0.00028934181231516043,0.0,1.0,0.6903102415942449,0.0015165269431278885,0.24618931452425294,0.0004382977046319046,0.5046674462333128,0.0,0.6827112529742582,0.0010499218268736777,0.2434481917323755,0.0003307808191504851,0.2614387548060965,0.864,0.6827112529742582,0.0010499218268736777,0.2434481917323755,0.0003307808191504851,0.2614387548060965,0.864,0.6825524434142541,0.0008480382722775055,0.24339205635349873,0.00031487127026550566,0.23392062400140373,0.876,0.6842385402364417,0.0011592714461767933,0.2440324576711222,0.00036586855753754823,0.3511422751704554,0.556,0.488,0.058,0.058,0.262,0.0,0.0,-0.00015880956000399315,0.0005586291164875321,0.6812693299483853
normal,50,0.5,0.5,1.0,500,"[20260825, 76]",-0.39866968039243333,3,4.976832056477659,4.922503651640014,0.9226225234983686,2.802879443194239,7.649482439877481,0.0,0.0,1.0,0.932,0.0,0.6498357130171728,0.0006566893297290596,0.2290846119508588,0.0002814930498784493,0.0,1.0,0.6650381963505142,0.001406035420619662,0.2336850034178276,0.00042938197889908684,0.5264916041612083,0.0,0.6505552012880118,0.0007191531319686975,0.22940998060797357,0.00031467599613563225,0.1159055158580942,0.956,0.6505552012880118,0.0007191531319686975,0.22940998060797357,0.00031467599613563225,0.1159055158580942,0.956,0.6507030872938334,0.0007106959961463301,0.22947694225025228,0.0003100324012936304,0.1266002007492546,0.946,0.655335351595114,0.0010559138737152311,0.23073946701852266,0.0003663098453346871,0.3128978506835547,0.642,0.058,0.002,0.002,0.022,0.0,0.0,0.00014788600582152055,0.0002189561423894619,0.6498357130171728
normal,50,0.5,0.5,1.25,500,"[20260825, 77]",-0.3299502508062101,3,5.160694697997873,5.1477383644261785,0.8663812156736082,2.936580378652524,7.902938526494928,0.3225434186248671,0.0,1.0,0.912,0.0,0.62740474275615,0.0006549158919818298,0.21915184873318938,0.0002947503452588491,0.0,1.0,0.6408248952044164,0.0014965148345063507,0.22190444800029852,0.00039336607202131353,0.5673962105165314,0.0,0.6285509673973857,0.0007802739622190932,0.21934332520287297,0.0003048821029192877,0.2075226855213614,0.932,0.6285509673973857,0.0007802739622190932,0.21934332520287297,0.0003048821029192877,0.2075226855213614,0.932,0.6281526140877881,0.0007007375018457825,0.21928179247281857,0.0002970889550796727,0.1740566330301189,0.95,0.6327243902761202,0.0011023684171938995,0.22004966299990825,0.0003367335461117631,0.4064826817498422,0.552,0.342,0.028,0.028,0.196,0.0,0.0,-0.00039835330959746583,0.0003918779221499143,0.62740474275615
normal,50,0.5,0.5,1.5,500,"[20260825, 78]",-0.2842134249531738,3,5.21271992347893,5.192677953570525,0.8816440908023555,2.616077273356795,7.729815791938091,1.3031799808697324,0.0,1.0,0.862,0.0,0.6067880403792901,0.0006194127903213808,0.20996452464996707,0.000290511651819054,0.0,1.0,0.6139293791880671,0.0019874650730513214,0.2093387590272792,0.00034071473718469674,0.6170383714826106,0.0,0.6073019039034296,0.0007809992570452368,0.20986614544934493,0.00029487779427188034,0.2695777466154061,0.914,0.6073019039034296,0.0007809992570452368,0.20986614544934493,0.00029487779427188034,0.2695777466154061,0.914,0.6073340524236942,0.0008028040173594551,0.20982824096245584,0.0002979002477478049,0.26433136563758897,0.9,0.6093394223666898,0.0015605474268568554,0.20909285451042983,0.00031231804324652817,0.5318821578861986,0.434,0.592,0.058,0.058,0.41,0.0,0.0,3.214852026453507e-05,0.0005670978435534555,0.6067880403792901
normal,50,0.5,0.5,2.0,500,"[20260825, 79]",-0.22604298351630997,3,5.262753613756778,5.240727027562062,0.8642721803314325,3.1248472881367624,7.879698076018154,5.262753613756778,0.0,1.0,0.674,0.0,0.5761836748243142,0.0005904657345344102,0.1961371217969978,0.0002958455433718274,0.0,1.0,0.5608773717363955,0.0019847319691752552,0.1867875898750941,0.00032261889655530086,0.722060817150383,0.0,0.5705382285125318,0.0008372599492206945,0.1937675715711999,0.0003505668809802564,0.47487421374172056,0.742,0.5705382285125318,0.0008372599492206945,0.1937675715711999,0.0003505668809802564,0.47487421374172056,0.742,0.5704159868340368,0.0012423029794821111,0.1933785308190824,0.00036062980307086513,0.5151923712336943,0.702,0.5604086209941382,0.0015567458491331776,0.18814950157364357,0.00033988194130492473,0.7186683772990632,0.152,0.844,0.254,0.254,0.774,0.0,0.0,-0.00012224167849482238,0.0010974908869203273,0.5608773717363955
normal,50,0.5,1.0,0.7,500,"[20260825, 80]",-0.6011472245998741,3,11.316246915342242,11.393640428374106,1.5233099021356566,6.824085506942168,15.801261326127078,1.0184622223808022,0.0,1.0,0.818,0.0,0.6252417974656392,0.0008728114184752175,0.21413378192338545,0.0002812541048803553,0.0,1.0,0.6256234936607259,0.0020010249872780697,0.21450586478667777,0.00039155517498424153,0.30979334229560634,0.0,0.6241197602661919,0.0009875828422981068,0.21405032422010228,0.00030686410685219355,0.1777764107981931,0.828,0.6241197602661919,0.0009875828422981068,0.21405032422010228,0.00030686410685219355,0.1777764107981931,0.828,0.6240797553678842,0.0009131676031680451,0.21405617004494482,0.00028988721434513865,0.1586277524749857,0.86,0.6227530373353752,0.0014246929618906682,0.21378061020030045,0.0003297875823717142,0.24150062967049624,0.448,0.714,0.148,0.148,0.474,0.0,0.0,-4.0004898307513856e-05,0.00046295599075081383,0.6252417974656392
normal,50,0.5,1.0,1.0,500,"[20260825, 81]",-0.45208596703261994,3,11.565464323966415,11.50327996745088,1.440588557395108,8.014069210254476,15.870236365437753,0.0,0.0,1.0,0.95,0.0,0.542864767062834,0.0007535912848179473,0.18364298967986312,0.0002717741160479011,0.0,1.0,0.5585262211570828,0.0015179824543156408,0.18662196476417683,0.00032884408506154793,0.347500112684958,0.0,0.5431298237027236,0.0007657661210582381,0.18374994587054932,0.00027998897291122365,0.04370194543953066,0.976,0.5431298237027236,0.0007657661210582381,0.18374994587054932,0.00027998897291122365,0.04370194543953066,0.976,0.5434799611684437,0.000783482951017314,0.18383709915199847,0.00028280114209612594,0.07124292664094063,0.964,0.5478205288028294,0.0011040921630086494,0.18463796185956377,0.0002990345969974517,0.20057683234948792,0.66,0.074,0.0,0.0,0.026,0.0,0.0,0.00035013746572007507,0.00022679828875317174,0.542864767062834
normal,50,0.5,1.0,1.25,500,"[20260825, 82]",-0.37897254629952803,3,11.50859498461593,11.512836921674406,1.4248148205185833,7.2882950493502845,15.822146469847556,0.7192871865384957,0.0,1.0,0.898,0.0,0.4954099444348026,0.0005662001682691984,0.16501011434979024,0.0002306241701182709,0.0,1.0,0.5121695051485371,0.0026272868421969514,0.16631860672453735,0.0002886205694065911,0.5146824506060407,0.0,0.4964145192103217,0.0007231795698038683,0.16506809967999844,0.00023362964117661607,0.17378365382684646,0.922,0.4964145192103217,0.0007231795698038683,0.16506809967999844,0.00023362964117661607,0.17378365382684646,0.922,0.4963762752345622,0.0007334332056805477,0.16505902345444998,0.00023493907919705628,0.17015723976210567,0.928,0.5032165713690369,0.0021625135536610103,0.16535669818395127,0.00026356812815163817,0.41420904181547036,0.508,0.392,0.048,0.048,0.282,0.0,0.0,-3.8243975759460366e-05,0.0003604938727118852,0.4954099444348026
normal,50,0.5,1.0,1.5,500,"[20260825, 83]",-0.3274508960443001,3,11.573797392839166,11.481717375665147,1.4309225601300404,8.165886140277296,15.085464624340993,2.8934493482097916,0.0,1.0,0.808,0.0,0.46389387502976254,0.0005394557394304489,0.15219183860441582,0.00024033397952394082,0.0,1.0,0.47171530545508966,0.0025978526107610844,0.15030604635194034,0.000314377438983434,0.5993190256338192,0.0,0.4631828178590806,0.0008169213463537135,0.15169572428218248,0.0002459670598691217,0.24720502031029287,0.864,0.4631828178590806,0.0008169213463537135,0.15169572428218248,0.0002459670598691217,0.24720502031029287,0.864,0.46287717123083316,0.0006808625549905,0.15162983621527504,0.00024813240680160773,0.2531715476959491,0.848,0.46522112003985955,0.0016958351995851795,0.15047381163072185,0.0002833574865438604,0.5292296586536936,0.31,0.678,0.11,0.11,0.514,0.0,0.0,-0.000305646628247496,0.0005570920808066227,0.46389387502976254
normal,50,0.5,1.0,2.0,500,"[20260825, 84]",-0.25812333977812374,3,11.69805873776029,11.708075783287995,1.3860792561402437,7.250793615475299,15.9426619970232,11.69805873776029,0.0,1.0,0.612,0.0,0.4215072642351696,0.0004891649438023252,0.13419077294878556,0.00024754890229009696,0.0,1.0,0.395816639781307,0.002313944708981602,0.12328584163895084,0.00028800204916940584,0.8256329045323005,0.0,0.41002006075391206,0.001082544910759729,0.1305662025386525,0.0003352770350295142,0.5364859710586123,0.646,0.41002006075391206,0.001082544910759729,0.1305662025386525,0.0003352770350295142,0.5364859710586123,0.646,0.40996450668406975,0.0011137783593684562,0.13053391396897326,0.0003484915656091955,0.557875319052979,0.644,0.3924364089016219,0.0016803165984251498,0.12403117125628037,0.00031509235136649015,0.7394607255978495,0.048,0.88,0.342,0.342,0.876,0.0,0.0,-5.555406984231825e-05,0.0010615207433700524,0.395816639781307
normal,50,0.5,2.0,0.7,500,"[20260825, 85]",-0.6923660444400166,3,13.862716146006989,13.9644477939224,1.5317508910848643,8.153751161663642,19.186007432714185,1.2476444531406292,0.0,1.0,0.858,0.0,0.4884294646195282,0.0010922170054364175,0.156495590429867,0.00024381498183014105,0.0,1.0,0.47979351600066944,0.0020577930342757585,0.1552669221976139,0.00027483735570117565,0.2527602799014118,0.0,0.4860255447330374,0.001295897785559059,0.15599110226809648,0.0002327381572686054,0.14020742774004868,0.87,0.4860255447330374,0.001295897785559059,0.15599110226809648,0.0002327381572686054,0.14020742774004868,0.87,0.4854081288333861,0.0011309375147673779,0.15603387977640437,0.00023703392615289607,0.13974344520758425,0.86,0.47945444665756104,0.0014335114769124142,0.15517996149816202,0.00024747292881731407,0.19414059514664642,0.386,0.828,0.126,0.126,0.578,0.0,0.0,-0.0006174158996514179,0.0007187950437788726,0.47979351600066944
normal,50,0.5,2.0,1.0,500,"[20260825, 86]",-0.5162466795562475,3,13.756057265193256,13.73136342644807,1.4388824321624418,9.325946764419077,17.926593560937416,0.0,0.0,1.0,0.954,0.0,0.3743430737237873,0.0007614337139645038,0.12084596301234574,0.00023813474597923423,0.0,1.0,0.3986435068154655,0.002707736196078352,0.12350921041273409,0.00031871275977482933,0.4357379047069176,0.0,0.3758334809908694,0.0009023935200249752,0.12107242599113227,0.00024622879627793305,0.10913458690972709,0.954,0.3758334809908694,0.0009023935200249752,0.12107242599113227,0.00024622879627793305,0.10913458690972709,0.954,0.3753490381690387,0.000833222237732725,0.12099851078285861,0.00024073708554046266,0.0938001821608582,0.962,0.3833086828304905,0.0017275188240597453,0.12183011210272061,0.000276048767092121,0.27491316810104194,0.644,0.074,0.0,0.0,0.032,0.0,0.0,-0.00048444282183063747,0.000324826119939633,0.3743430737237873
